,worldbank_stats_by_country_2015-2019.csv column names
694,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, female (2 prevent ways and reject 3 misconceptions) 2019"
695,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, male (2 prevent ways and reject 3 misconceptions) 2015"
696,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, male (2 prevent ways and reject 3 misconceptions) 2016"
697,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, male (2 prevent ways and reject 3 misconceptions) 2017"
698,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, male (2 prevent ways and reject 3 misconceptions) 2018"
699,"Comprehensive correct knowledge of HIV/AIDS, ages 15-24, male (2 prevent ways and reject 3 misconceptions) 2019"
700,"Prevalence of HIV, male (% ages 15-24) 2015"
701,"Prevalence of HIV, male (% ages 15-24) 2016"
702,"Prevalence of HIV, male (% ages 15-24) 2017"
703,"Prevalence of HIV, male (% ages 15-24) 2018"
704,"Prevalence of HIV, male (% ages 15-24) 2019"
705,Antiretroviral therapy coverage (% of people living with HIV) 2015
706,Antiretroviral therapy coverage (% of people living with HIV) 2016
707,Antiretroviral therapy coverage (% of people living with HIV) 2017
708,Antiretroviral therapy coverage (% of people living with HIV) 2018
709,Antiretroviral therapy coverage (% of people living with HIV) 2019
710,Adults (ages 15+) newly infected with HIV 2015
711,Adults (ages 15+) newly infected with HIV 2016
712,Adults (ages 15+) newly infected with HIV 2017
713,Adults (ages 15+) newly infected with HIV 2018
714,Adults (ages 15+) newly infected with HIV 2019
715,Children (ages 0-14) newly infected with HIV 2015
716,Children (ages 0-14) newly infected with HIV 2016
717,Children (ages 0-14) newly infected with HIV 2017
718,Children (ages 0-14) newly infected with HIV 2018
719,Children (ages 0-14) newly infected with HIV 2019
720,Adults (ages 15+) and children (ages 0-14) newly infected with HIV 2015
721,Adults (ages 15+) and children (ages 0-14) newly infected with HIV 2016
722,Adults (ages 15+) and children (ages 0-14) newly infected with HIV 2017
723,Adults (ages 15+) and children (ages 0-14) newly infected with HIV 2018
724,Adults (ages 15+) and children (ages 0-14) newly infected with HIV 2019
725,"Incidence of HIV (per 1,000 uninfected population ages 15-49) 2015"
726,"Incidence of HIV (per 1,000 uninfected population ages 15-49) 2016"
727,"Incidence of HIV (per 1,000 uninfected population ages 15-49) 2017"
728,"Incidence of HIV (per 1,000 uninfected population ages 15-49) 2018"
729,"Incidence of HIV (per 1,000 uninfected population ages 15-49) 2019"
730,"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, female (2 prevent ways and reject 3 misconceptions) 2015"
731,"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, female (2 prevent ways and reject 3 misconceptions) 2016"
732,"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, female (2 prevent ways and reject 3 misconceptions) 2017"
733,"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, female (2 prevent ways and reject 3 misconceptions) 2018"
734,"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, female (2 prevent ways and reject 3 misconceptions) 2019"
735,"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, male (2 prevent ways and reject 3 misconceptions) 2015"
736,"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, male (2 prevent ways and reject 3 misconceptions) 2016"
737,"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, male (2 prevent ways and reject 3 misconceptions) 2017"
738,"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, male (2 prevent ways and reject 3 misconceptions) 2018"
739,"Comprehensive correct knowledge of HIV/AIDS, ages 15-49, male (2 prevent ways and reject 3 misconceptions) 2019"
740,Children orphaned by HIV/AIDS 2015
741,Children orphaned by HIV/AIDS 2016
742,Children orphaned by HIV/AIDS 2017
743,Children orphaned by HIV/AIDS 2018
744,Children orphaned by HIV/AIDS 2019
745,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV) 2015
746,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV) 2016
747,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV) 2017
748,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV) 2018
749,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV) 2019
750,Adults (ages 15+) and children (0-14 years) living with HIV 2015
751,Adults (ages 15+) and children (0-14 years) living with HIV 2016
752,Adults (ages 15+) and children (0-14 years) living with HIV 2017
753,Adults (ages 15+) and children (0-14 years) living with HIV 2018
754,Adults (ages 15+) and children (0-14 years) living with HIV 2019
755,"Immunization, HepB3 (% of one-year-old children) 2015"
756,"Immunization, HepB3 (% of one-year-old children) 2016"
757,"Immunization, HepB3 (% of one-year-old children) 2017"
758,"Immunization, HepB3 (% of one-year-old children) 2018"
759,"Immunization, HepB3 (% of one-year-old children) 2019"
760,"Immunization, Hib3 (% of children ages 12-23 months) 2015"
761,"Immunization, Hib3 (% of children ages 12-23 months) 2016"
762,"Immunization, Hib3 (% of children ages 12-23 months) 2017"
763,"Immunization, Hib3 (% of children ages 12-23 months) 2018"
764,"Immunization, Hib3 (% of children ages 12-23 months) 2019"
765,"Immunization, BCG (% of one-year-old children) 2015"
766,"Immunization, BCG (% of one-year-old children) 2016"
767,"Immunization, BCG (% of one-year-old children) 2017"
768,"Immunization, BCG (% of one-year-old children) 2018"
769,"Immunization, BCG (% of one-year-old children) 2019"
770,"Immunization, DPT (% of children ages 12-23 months) 2015"
771,"Immunization, DPT (% of children ages 12-23 months) 2016"
772,"Immunization, DPT (% of children ages 12-23 months) 2017"
773,"Immunization, DPT (% of children ages 12-23 months) 2018"
774,"Immunization, DPT (% of children ages 12-23 months) 2019"
775,"Immunization, measles (% of children ages 12-23 months) 2015"
776,"Immunization, measles (% of children ages 12-23 months) 2016"
777,"Immunization, measles (% of children ages 12-23 months) 2017"
778,"Immunization, measles (% of children ages 12-23 months) 2018"
779,"Immunization, measles (% of children ages 12-23 months) 2019"
780,"Immunization, Pol3 (% of one-year-old children) 2015"
781,"Immunization, Pol3 (% of one-year-old children) 2016"
782,"Immunization, Pol3 (% of one-year-old children) 2017"
783,"Immunization, Pol3 (% of one-year-old children) 2018"
784,"Immunization, Pol3 (% of one-year-old children) 2019"
785,"Hospital beds (per 1,000 people) 2015"
786,"Hospital beds (per 1,000 people) 2016"
787,"Hospital beds (per 1,000 people) 2017"
788,"Hospital beds (per 1,000 people) 2018"
789,"Hospital beds (per 1,000 people) 2019"
790,"Community health workers (per 1,000 people) 2015"
791,"Community health workers (per 1,000 people) 2016"
792,"Community health workers (per 1,000 people) 2017"
793,"Community health workers (per 1,000 people) 2018"
794,"Community health workers (per 1,000 people) 2019"
795,"Nurses and midwives (per 1,000 people) 2015"
796,"Nurses and midwives (per 1,000 people) 2016"
797,"Nurses and midwives (per 1,000 people) 2017"
798,"Nurses and midwives (per 1,000 people) 2018"
799,"Nurses and midwives (per 1,000 people) 2019"
800,"Physicians (per 1,000 people) 2015"
801,"Physicians (per 1,000 people) 2016"
802,"Physicians (per 1,000 people) 2017"
803,"Physicians (per 1,000 people) 2018"
804,"Physicians (per 1,000 people) 2019"
805,"Specialist surgical workforce (per 100,000 population) 2015"
806,"Specialist surgical workforce (per 100,000 population) 2016"
807,"Specialist surgical workforce (per 100,000 population) 2017"
808,"Specialist surgical workforce (per 100,000 population) 2018"
809,"Specialist surgical workforce (per 100,000 population) 2019"
810,"Incidence of malaria (per 1,000 population at risk) 2015"
811,"Incidence of malaria (per 1,000 population at risk) 2016"
812,"Incidence of malaria (per 1,000 population at risk) 2017"
813,"Incidence of malaria (per 1,000 population at risk) 2018"
814,"Incidence of malaria (per 1,000 population at risk) 2019"
815,Use of insecticide-treated bed nets (% of under-5 population) 2015
816,Use of insecticide-treated bed nets (% of under-5 population) 2016
817,Use of insecticide-treated bed nets (% of under-5 population) 2017
818,Use of insecticide-treated bed nets (% of under-5 population) 2018
819,Use of insecticide-treated bed nets (% of under-5 population) 2019
820,Children with fever receiving antimalarial drugs (% of children under age 5 with fever) 2015
821,Children with fever receiving antimalarial drugs (% of children under age 5 with fever) 2016
822,Children with fever receiving antimalarial drugs (% of children under age 5 with fever) 2017
823,Children with fever receiving antimalarial drugs (% of children under age 5 with fever) 2018
824,Children with fever receiving antimalarial drugs (% of children under age 5 with fever) 2019
825,Number of maternal deaths 2015
826,Number of maternal deaths 2016
827,Number of maternal deaths 2017
828,Number of maternal deaths 2018
829,Number of maternal deaths 2019
830,Maternity leave (days paid) 2015
831,Maternity leave (days paid) 2016
832,Maternity leave (days paid) 2017
833,Maternity leave (days paid) 2018
834,Maternity leave (days paid) 2019
835,Lifetime risk of maternal death (1 in: rate varies by country) 2015
836,Lifetime risk of maternal death (1 in: rate varies by country) 2016
837,Lifetime risk of maternal death (1 in: rate varies by country) 2017
838,Lifetime risk of maternal death (1 in: rate varies by country) 2018
839,Lifetime risk of maternal death (1 in: rate varies by country) 2019
840,Lifetime risk of maternal death (%) 2015
841,Lifetime risk of maternal death (%) 2016
842,Lifetime risk of maternal death (%) 2017
843,Lifetime risk of maternal death (%) 2018
844,Lifetime risk of maternal death (%) 2019
845,Maternal leave benefits (% of wages paid) 2015
846,Maternal leave benefits (% of wages paid) 2016
847,Maternal leave benefits (% of wages paid) 2017
848,Maternal leave benefits (% of wages paid) 2018
849,Maternal leave benefits (% of wages paid) 2019
850,Prevalence of anemia among pregnant women (%) 2015
851,Prevalence of anemia among pregnant women (%) 2016
852,Prevalence of anemia among pregnant women (%) 2017
853,Prevalence of anemia among pregnant women (%) 2018
854,Prevalence of anemia among pregnant women (%) 2019
855,Prevalence of syphilis (% of women attending antenatal care) 2015
856,Prevalence of syphilis (% of women attending antenatal care) 2016
857,Prevalence of syphilis (% of women attending antenatal care) 2017
858,Prevalence of syphilis (% of women attending antenatal care) 2018
859,Prevalence of syphilis (% of women attending antenatal care) 2019
860,"Smoking prevalence, total (ages 15+) 2015"
861,"Smoking prevalence, total (ages 15+) 2016"
862,"Smoking prevalence, total (ages 15+) 2017"
863,"Smoking prevalence, total (ages 15+) 2018"
864,"Smoking prevalence, total (ages 15+) 2019"
865,"Smoking prevalence, females (% of adults) 2015"
866,"Smoking prevalence, females (% of adults) 2016"
867,"Smoking prevalence, females (% of adults) 2017"
868,"Smoking prevalence, females (% of adults) 2018"
869,"Smoking prevalence, females (% of adults) 2019"
870,"Smoking prevalence, males (% of adults) 2015"
871,"Smoking prevalence, males (% of adults) 2016"
872,"Smoking prevalence, males (% of adults) 2017"
873,"Smoking prevalence, males (% of adults) 2018"
874,"Smoking prevalence, males (% of adults) 2019"
875,Risk of catastrophic expenditure for surgical care (% of people at risk) 2015
876,Risk of catastrophic expenditure for surgical care (% of people at risk) 2016
877,Risk of catastrophic expenditure for surgical care (% of people at risk) 2017
878,Risk of catastrophic expenditure for surgical care (% of people at risk) 2018
879,Risk of catastrophic expenditure for surgical care (% of people at risk) 2019
880,Risk of impoverishing expenditure for surgical care (% of people at risk) 2015
881,Risk of impoverishing expenditure for surgical care (% of people at risk) 2016
882,Risk of impoverishing expenditure for surgical care (% of people at risk) 2017
883,Risk of impoverishing expenditure for surgical care (% of people at risk) 2018
884,Risk of impoverishing expenditure for surgical care (% of people at risk) 2019
885,"Number of surgical procedures (per 100,000 population) 2015"
886,"Number of surgical procedures (per 100,000 population) 2016"
887,"Number of surgical procedures (per 100,000 population) 2017"
888,"Number of surgical procedures (per 100,000 population) 2018"
889,"Number of surgical procedures (per 100,000 population) 2019"
890,"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population) 2015"
891,"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population) 2016"
892,"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population) 2017"
893,"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population) 2018"
894,"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population) 2019"
895,"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population) 2015"
896,"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population) 2016"
897,"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population) 2017"
898,"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population) 2018"
899,"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population) 2019"
900,"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population) 2015"
901,"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population) 2016"
902,"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population) 2017"
903,"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population) 2018"
904,"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population) 2019"
905,Pregnant women receiving prenatal care of at least four visits (% of pregnant women) 2015
906,Pregnant women receiving prenatal care of at least four visits (% of pregnant women) 2016
907,Pregnant women receiving prenatal care of at least four visits (% of pregnant women) 2017
908,Pregnant women receiving prenatal care of at least four visits (% of pregnant women) 2018
909,Pregnant women receiving prenatal care of at least four visits (% of pregnant women) 2019
910,Pregnant women receiving prenatal care (%) 2015
911,Pregnant women receiving prenatal care (%) 2016
912,Pregnant women receiving prenatal care (%) 2017
913,Pregnant women receiving prenatal care (%) 2018
914,Pregnant women receiving prenatal care (%) 2019
915,ARI treatment (% of children under 5 taken to a health provider) 2015
916,ARI treatment (% of children under 5 taken to a health provider) 2016
917,ARI treatment (% of children under 5 taken to a health provider) 2017
918,ARI treatment (% of children under 5 taken to a health provider) 2018
919,ARI treatment (% of children under 5 taken to a health provider) 2019
920,"People using at least basic sanitation services, rural (% of rural population) 2015"
921,"People using at least basic sanitation services, rural (% of rural population) 2016"
922,"People using at least basic sanitation services, rural (% of rural population) 2017"
923,"People using at least basic sanitation services, rural (% of rural population) 2018"
924,"People using at least basic sanitation services, rural (% of rural population) 2019"
925,"People using at least basic sanitation services, urban (% of urban population) 2015"
926,"People using at least basic sanitation services, urban (% of urban population) 2016"
927,"People using at least basic sanitation services, urban (% of urban population) 2017"
928,"People using at least basic sanitation services, urban (% of urban population) 2018"
929,"People using at least basic sanitation services, urban (% of urban population) 2019"
930,People using at least basic sanitation services (% of population) 2015
931,People using at least basic sanitation services (% of population) 2016
932,People using at least basic sanitation services (% of population) 2017
933,People using at least basic sanitation services (% of population) 2018
934,People using at least basic sanitation services (% of population) 2019
935,Exclusive breastfeeding (% of children under 6 months) 2015
936,Exclusive breastfeeding (% of children under 6 months) 2016
937,Exclusive breastfeeding (% of children under 6 months) 2017
938,Exclusive breastfeeding (% of children under 6 months) 2018
939,Exclusive breastfeeding (% of children under 6 months) 2019
940,Births attended by skilled health staff (% of total) 2015
941,Births attended by skilled health staff (% of total) 2016
942,Births attended by skilled health staff (% of total) 2017
943,Births attended by skilled health staff (% of total) 2018
944,Births attended by skilled health staff (% of total) 2019
945,Low-birthweight babies (% of births) 2015
946,Low-birthweight babies (% of births) 2016
947,Low-birthweight babies (% of births) 2017
948,Low-birthweight babies (% of births) 2018
949,Low-birthweight babies (% of births) 2019
950,Diabetes prevalence (% of population ages 20 to 79) 2015
951,Diabetes prevalence (% of population ages 20 to 79) 2016
952,Diabetes prevalence (% of population ages 20 to 79) 2017
953,Diabetes prevalence (% of population ages 20 to 79) 2018
954,Diabetes prevalence (% of population ages 20 to 79) 2019
955,"People with basic handwashing facilities including soap and water, rural (% of rural population) 2015"
956,"People with basic handwashing facilities including soap and water, rural (% of rural population) 2016"
957,"People with basic handwashing facilities including soap and water, rural (% of rural population) 2017"
958,"People with basic handwashing facilities including soap and water, rural (% of rural population) 2018"
959,"People with basic handwashing facilities including soap and water, rural (% of rural population) 2019"
960,"People with basic handwashing facilities including soap and water, urban (% of urban population) 2015"
961,"People with basic handwashing facilities including soap and water, urban (% of urban population) 2016"
962,"People with basic handwashing facilities including soap and water, urban (% of urban population) 2017"
963,"People with basic handwashing facilities including soap and water, urban (% of urban population) 2018"
964,"People with basic handwashing facilities including soap and water, urban (% of urban population) 2019"
965,People with basic handwashing facilities including soap and water (% of population) 2015
966,People with basic handwashing facilities including soap and water (% of population) 2016
967,People with basic handwashing facilities including soap and water (% of population) 2017
968,People with basic handwashing facilities including soap and water (% of population) 2018
969,People with basic handwashing facilities including soap and water (% of population) 2019
970,"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months) 2015"
971,"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months) 2016"
972,"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months) 2017"
973,"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months) 2018"
974,"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months) 2019"
975,"Prevalence of underweight, weight for age, female (% of children under 5) 2015"
976,"Prevalence of underweight, weight for age, female (% of children under 5) 2016"
977,"Prevalence of underweight, weight for age, female (% of children under 5) 2017"
978,"Prevalence of underweight, weight for age, female (% of children under 5) 2018"
979,"Prevalence of underweight, weight for age, female (% of children under 5) 2019"
980,"Prevalence of underweight, weight for age, male (% of children under 5) 2015"
981,"Prevalence of underweight, weight for age, male (% of children under 5) 2016"
982,"Prevalence of underweight, weight for age, male (% of children under 5) 2017"
983,"Prevalence of underweight, weight for age, male (% of children under 5) 2018"
984,"Prevalence of underweight, weight for age, male (% of children under 5) 2019"
985,"Prevalence of underweight, weight for age (% of children under 5) 2015"
986,"Prevalence of underweight, weight for age (% of children under 5) 2016"
987,"Prevalence of underweight, weight for age (% of children under 5) 2017"
988,"Prevalence of underweight, weight for age (% of children under 5) 2018"
989,"Prevalence of underweight, weight for age (% of children under 5) 2019"
990,Malaria cases reported 2015
991,Malaria cases reported 2016
992,Malaria cases reported 2017
993,Malaria cases reported 2018
994,Malaria cases reported 2019
995,"Maternal mortality ratio (modeled estimate, per 100,000 live births) 2015"
996,"Maternal mortality ratio (modeled estimate, per 100,000 live births) 2016"
997,"Maternal mortality ratio (modeled estimate, per 100,000 live births) 2017"
998,"Maternal mortality ratio (modeled estimate, per 100,000 live births) 2018"
999,"Maternal mortality ratio (modeled estimate, per 100,000 live births) 2019"
1000,"Maternal mortality ratio (national estimate, per 100,000 live births) 2015"
1001,"Maternal mortality ratio (national estimate, per 100,000 live births) 2016"
1002,"Maternal mortality ratio (national estimate, per 100,000 live births) 2017"
1003,"Maternal mortality ratio (national estimate, per 100,000 live births) 2018"
1004,"Maternal mortality ratio (national estimate, per 100,000 live births) 2019"
1005,"People practicing open defecation, rural (% of rural population) 2015"
1006,"People practicing open defecation, rural (% of rural population) 2016"
1007,"People practicing open defecation, rural (% of rural population) 2017"
1008,"People practicing open defecation, rural (% of rural population) 2018"
1009,"People practicing open defecation, rural (% of rural population) 2019"
1010,"People practicing open defecation, urban (% of urban population) 2015"
1011,"People practicing open defecation, urban (% of urban population) 2016"
1012,"People practicing open defecation, urban (% of urban population) 2017"
1013,"People practicing open defecation, urban (% of urban population) 2018"
1014,"People practicing open defecation, urban (% of urban population) 2019"
1015,People practicing open defecation (% of population) 2015
1016,People practicing open defecation (% of population) 2016
1017,People practicing open defecation (% of population) 2017
1018,People practicing open defecation (% of population) 2018
1019,People practicing open defecation (% of population) 2019
1020,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding) 2015
1021,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding) 2016
1022,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding) 2017
1023,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding) 2018
1024,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding) 2019
1025,Diarrhea treatment (% of children under 5 who received ORS packet) 2015
1026,Diarrhea treatment (% of children under 5 who received ORS packet) 2016
1027,Diarrhea treatment (% of children under 5 who received ORS packet) 2017
1028,Diarrhea treatment (% of children under 5 who received ORS packet) 2018
1029,Diarrhea treatment (% of children under 5 who received ORS packet) 2019
1030,"Prevalence of overweight, female (% of female adults) 2015"
1031,"Prevalence of overweight, female (% of female adults) 2016"
1032,"Prevalence of overweight, female (% of female adults) 2017"
1033,"Prevalence of overweight, female (% of female adults) 2018"
1034,"Prevalence of overweight, female (% of female adults) 2019"
1035,"Prevalence of overweight, male (% of male adults) 2015"
1036,"Prevalence of overweight, male (% of male adults) 2016"
1037,"Prevalence of overweight, male (% of male adults) 2017"
1038,"Prevalence of overweight, male (% of male adults) 2018"
1039,"Prevalence of overweight, male (% of male adults) 2019"
1040,Prevalence of overweight (% of adults) 2015
1041,Prevalence of overweight (% of adults) 2016
1042,Prevalence of overweight (% of adults) 2017
1043,Prevalence of overweight (% of adults) 2018
1044,Prevalence of overweight (% of adults) 2019
1045,"Prevalence of overweight, weight for height, female (% of children under 5) 2015"
1046,"Prevalence of overweight, weight for height, female (% of children under 5) 2016"
1047,"Prevalence of overweight, weight for height, female (% of children under 5) 2017"
1048,"Prevalence of overweight, weight for height, female (% of children under 5) 2018"
1049,"Prevalence of overweight, weight for height, female (% of children under 5) 2019"
1050,"Prevalence of overweight, weight for height, male (% of children under 5) 2015"
1051,"Prevalence of overweight, weight for height, male (% of children under 5) 2016"
1052,"Prevalence of overweight, weight for height, male (% of children under 5) 2017"
1053,"Prevalence of overweight, weight for height, male (% of children under 5) 2018"
1054,"Prevalence of overweight, weight for height, male (% of children under 5) 2019"
1055,"Prevalence of overweight, weight for height (% of children under 5) 2015"
1056,"Prevalence of overweight, weight for height (% of children under 5) 2016"
1057,"Prevalence of overweight, weight for height (% of children under 5) 2017"
1058,"Prevalence of overweight, weight for height (% of children under 5) 2018"
1059,"Prevalence of overweight, weight for height (% of children under 5) 2019"
1060,Postnatal care coverage (% mothers) 2015
1061,Postnatal care coverage (% mothers) 2016
1062,Postnatal care coverage (% mothers) 2017
1063,Postnatal care coverage (% mothers) 2018
1064,Postnatal care coverage (% mothers) 2019
1065,"Mortality rate attributed to unintentional poisoning (per 100,000 population) 2015"
1066,"Mortality rate attributed to unintentional poisoning (per 100,000 population) 2016"
1067,"Mortality rate attributed to unintentional poisoning (per 100,000 population) 2017"
1068,"Mortality rate attributed to unintentional poisoning (per 100,000 population) 2018"
1069,"Mortality rate attributed to unintentional poisoning (per 100,000 population) 2019"
1070,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population) 2015"
1071,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population) 2016"
1072,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population) 2017"
1073,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population) 2018"
1074,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population) 2019"
1075,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population) 2015"
1076,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population) 2016"
1077,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population) 2017"
1078,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population) 2018"
1079,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population) 2019"
1080,"People using safely managed sanitation services, rural (% of rural population) 2015"
1081,"People using safely managed sanitation services, rural (% of rural population) 2016"
1082,"People using safely managed sanitation services, rural (% of rural population) 2017"
1083,"People using safely managed sanitation services, rural (% of rural population) 2018"
1084,"People using safely managed sanitation services, rural (% of rural population) 2019"
1085,"People using safely managed sanitation services, urban (% of urban population) 2015"
1086,"People using safely managed sanitation services, urban (% of urban population) 2016"
1087,"People using safely managed sanitation services, urban (% of urban population) 2017"
1088,"People using safely managed sanitation services, urban (% of urban population) 2018"
1089,"People using safely managed sanitation services, urban (% of urban population) 2019"
1090,People using safely managed sanitation services (% of population) 2015
1091,People using safely managed sanitation services (% of population) 2016
1092,People using safely managed sanitation services (% of population) 2017
1093,People using safely managed sanitation services (% of population) 2018
1094,People using safely managed sanitation services (% of population) 2019
1095,"Prevalence of stunting, height for age, female (% of children under 5) 2015"
1096,"Prevalence of stunting, height for age, female (% of children under 5) 2016"
1097,"Prevalence of stunting, height for age, female (% of children under 5) 2017"
1098,"Prevalence of stunting, height for age, female (% of children under 5) 2018"
1099,"Prevalence of stunting, height for age, female (% of children under 5) 2019"
1100,"Prevalence of stunting, height for age, male (% of children under 5) 2015"
1101,"Prevalence of stunting, height for age, male (% of children under 5) 2016"
1102,"Prevalence of stunting, height for age, male (% of children under 5) 2017"
1103,"Prevalence of stunting, height for age, male (% of children under 5) 2018"
1104,"Prevalence of stunting, height for age, male (% of children under 5) 2019"
1105,"Prevalence of stunting, height for age (% of children under 5) 2015"
1106,"Prevalence of stunting, height for age (% of children under 5) 2016"
1107,"Prevalence of stunting, height for age (% of children under 5) 2017"
1108,"Prevalence of stunting, height for age (% of children under 5) 2018"
1109,"Prevalence of stunting, height for age (% of children under 5) 2019"
1110,"Suicide mortality rate, female (per 100,000 female population) 2015"
1111,"Suicide mortality rate, female (per 100,000 female population) 2016"
1112,"Suicide mortality rate, female (per 100,000 female population) 2017"
1113,"Suicide mortality rate, female (per 100,000 female population) 2018"
1114,"Suicide mortality rate, female (per 100,000 female population) 2019"
1115,"Suicide mortality rate, male (per 100,000 male population) 2015"
1116,"Suicide mortality rate, male (per 100,000 male population) 2016"
1117,"Suicide mortality rate, male (per 100,000 male population) 2017"
1118,"Suicide mortality rate, male (per 100,000 male population) 2018"
1119,"Suicide mortality rate, male (per 100,000 male population) 2019"
1120,"Suicide mortality rate (per 100,000 population) 2015"
1121,"Suicide mortality rate (per 100,000 population) 2016"
1122,"Suicide mortality rate (per 100,000 population) 2017"
1123,"Suicide mortality rate (per 100,000 population) 2018"
1124,"Suicide mortality rate (per 100,000 population) 2019"
1125,"Mortality caused by road traffic injury (per 100,000 people) 2015"
1126,"Mortality caused by road traffic injury (per 100,000 people) 2016"
1127,"Mortality caused by road traffic injury (per 100,000 people) 2017"
1128,"Mortality caused by road traffic injury (per 100,000 people) 2018"
1129,"Mortality caused by road traffic injury (per 100,000 people) 2019"
1130,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) 2015"
1131,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) 2016"
1132,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) 2017"
1133,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) 2018"
1134,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) 2019"
1135,"Prevalence of wasting, weight for height, female (% of children under 5) 2015"
1136,"Prevalence of wasting, weight for height, female (% of children under 5) 2016"
1137,"Prevalence of wasting, weight for height, female (% of children under 5) 2017"
1138,"Prevalence of wasting, weight for height, female (% of children under 5) 2018"
1139,"Prevalence of wasting, weight for height, female (% of children under 5) 2019"
1140,"Prevalence of wasting, weight for height, male (% of children under 5) 2015"
1141,"Prevalence of wasting, weight for height, male (% of children under 5) 2016"
1142,"Prevalence of wasting, weight for height, male (% of children under 5) 2017"
1143,"Prevalence of wasting, weight for height, male (% of children under 5) 2018"
1144,"Prevalence of wasting, weight for height, male (% of children under 5) 2019"
1145,"Prevalence of wasting, weight for height (% of children under 5) 2015"
1146,"Prevalence of wasting, weight for height (% of children under 5) 2016"
1147,"Prevalence of wasting, weight for height (% of children under 5) 2017"
1148,"Prevalence of wasting, weight for height (% of children under 5) 2018"
1149,"Prevalence of wasting, weight for height (% of children under 5) 2019"
1150,"Prevalence of severe wasting, weight for height, female (% of children under 5) 2015"
1151,"Prevalence of severe wasting, weight for height, female (% of children under 5) 2016"
1152,"Prevalence of severe wasting, weight for height, female (% of children under 5) 2017"
1153,"Prevalence of severe wasting, weight for height, female (% of children under 5) 2018"
1154,"Prevalence of severe wasting, weight for height, female (% of children under 5) 2019"
